PLACECODE,MUNICIPALITY
32200,01/209 - HAMILTONBAN
32232,42/208 - HAMLIN
32296,21/103 - HAMPDEN
32328,02/207 - HAMPTON
32392,04/208 - HANOVER
32400,39/201 - HANOVER
32416,40/101 - HANOVER
32432,48/206 - HANOVER
32440,62/212 - HANOVER
32448,66/413 - HANOVER
32520,25/210 - HARBORCREEK
32568,57/213 - HARFORD
32624,02/208 - HARMAR
32680,04/102 - HARMONY
32688,10/409 - HARMONY
32704,27/203 - HARMONY
32720,57/214 - HARMONY
32792,14/210 - HARRIS
32800,22/301 - HARRISBURG
32832,02/106 - HARRISON
32840,05/208 - HARRISON
32848,52/208 - HARRISON
32896,10/410 - HARRISVILLE
32936,59/401 - HARTLETON
32952,59/204 - HARTLEY
33000,40/434 - HARVEYS LAKE
33080,11/417 - HASTINGS
33088,46/408 - HATBORO
33112,46/409 - HATFIELD
33120,46/103 - HATFIELD
33144,23/103 - HAVERFORD
33200,63/402 - HAWLEY
33216,16/405 - HAWTHORNE
33224,09/209 - HAYCOCK
33256,20/212 - HAYFIELD
33312,02/436 - HAYSVILLE
33376,40/214 - HAZLE
33408,40/301 - HAZLETON
33448,33/207 - HEATH
33512,52/209 - HEBRON
33568,52/210 - HECTOR
33584,53/213 - HEGINS
33592,02/437 - HEIDELBERG
33600,06/216 - HEIDELBERG
33608,38/204 - HEIDELBERG
33616,39/202 - HEIDELBERG
33624,66/211 - HEIDELBERG
33728,66/212 - HELLAM
33744,48/407 - HELLERTOWN
33760,19/210 - HEMLOCK
33784,43/209 - HEMPFIELD
33792,64/209 - HEMPFIELD
33808,31/209 - HENDERSON
33816,33/208 - HENDERSON
33896,26/208 - HENRY CLAY
33944,41/214 - HEPBURN
34016,06/217 - HEREFORD
34064,43/303 - HERMITAGE
34080,49/401 - HERNDON
34088,08/211 - HERRICK
34096,57/215 - HERRICK
34240,27/204 - HICKORY
34248,37/202 - HICKORY
34424,01/210 - HIGHLAND
34448,15/218 - HIGHLAND
34456,16/207 - HIGHLAND
34464,24/204 - HIGHLAND
34656,22/406 - HIGHSPIRE
34840,56/207 - HILLSGROVE
34952,09/210 - HILLTOWN
35192,40/215 - HOLLENBACK
35224,07/403 - HOLLIDAYSBURG
35400,52/211 - HOMER
35408,32/407 - HOMER CITY
35424,02/438 - HOMESTEAD
35488,04/417 - HOMEWOOD
35520,63/403 - HONESDALE
35528,15/405 - HONEY BROOK
35536,15/219 - HONEY BROOK
35576,04/418 - HOOKSTOWN
35608,55/409 - HOOVERSVILLE
35624,57/405 - HOP BOTTOM
35640,04/103 - HOPEWELL
35648,05/404 - HOPEWELL
35656,05/209 - HOPEWELL
35672,21/203 - HOPEWELL
35688,31/210 - HOPEWELL
35696,62/213 - HOPEWELL
35704,66/213 - HOPEWELL
35808,46/204 - HORSHAM
35816,24/205 - HORTON
35896,62/419 - HOUSTON
35928,17/409 - HOUTZDALE
35936,03/209 - HOVEY
35960,14/403 - HOWARD
35968,14/211 - HOWARD
35992,27/205 - HOWE
36000,50/205 - HOWE
36072,53/214 - HUBLEY
36152,40/412 - HUGHESTOWN
36160,41/402 - HUGHESVILLE
36192,09/405 - HULMEVILLE
36232,22/407 - HUMMELSTOWN
36288,64/409 - HUNKER
36296,40/216 - HUNLOCK
36368,31/407 - HUNTINGDON
36424,01/211 - HUNTINGTON
36432,40/217 - HUNTINGTON
36496,07/208 - HUSTON
36504,14/212 - HUSTON
36512,17/219 - HUSTON
36592,64/410 - HYDE PARK
36616,20/407 - HYDETOWN
36640,05/405 - HYNDMAN
36776,04/209 - INDEPENDENCE
36800,62/214 - INDEPENDENCE
36808,02/209 - INDIANA
36816,32/408 - INDIANA
36888,55/424 - INDIAN LAKE
36944,04/419 - INDUSTRY
37000,02/439 - INGRAM
37192,17/410 - IRVONA
37200,60/208 - IRWIN
37208,64/411 - IRWIN
37304,09/406 - IVYLAND
37344,10/217 - JACKSON
37352,11/216 - JACKSON
37360,19/211 - JACKSON
37368,22/205 - JACKSON
37376,30/210 - JACKSON
37384,31/211 - JACKSON
37392,38/205 - JACKSON
37400,40/218 - JACKSON
37408,41/215 - JACKSON
37416,43/210 - JACKSON
37424,45/206 - JACKSON
37432,49/204 - JACKSON
37440,50/206 - JACKSON
37448,54/206 - JACKSON
37464,57/216 - JACKSON
37472,58/215 - JACKSON
37480,60/209 - JACKSON
37488,66/214 - JACKSON
37496,43/405 - JACKSON CENTER
37640,66/414 - JACOBUS
37696,43/406 - JAMESTOWN
37760,24/206 - JAY
37784,64/303 - JEANNETTE
37792,40/413 - JEDDO
37816,02/440 - JEFFERSON HILLS
37824,06/218 - JEFFERSON
37840,10/218 - JEFFERSON
37864,22/206 - JEFFERSON
37872,26/209 - JEFFERSON
37880,30/404 - JEFFERSON
37888,30/211 - JEFFERSON
37896,35/210 - JEFFERSON
37904,43/211 - JEFFERSON
37920,55/209 - JEFFERSON
37936,62/215 - JEFFERSON
37944,66/415 - JEFFERSON
37984,40/219 - JENKINS
38000,46/410 - JENKINTOWN
38016,27/206 - JENKS
38032,55/210 - JENNER
38048,55/410 - JENNERSTOWN
38096,35/408 - JERMYN
38128,41/403 - JERSEY SHORE
38160,35/417 - JESSUP
38168,57/217 - JESSUP
38200,13/404 - JIM THORPE
38248,24/401 - JOHNSONBURG
38288,11/301 - JOHNSTOWN
38368,24/207 - JONES
38400,38/403 - JONESTOWN
38432,17/220 - JORDAN
38448,41/216 - JORDAN
38456,49/205 - JORDAN
38576,05/210 - JUNIATA
38592,07/209 - JUNIATA
38608,31/212 - JUNIATA
38616,50/207 - JUNIATA
38640,44/406 - JUNIATA TERRACE
38688,42/402 - KANE
38768,10/411 - KARNS CITY
38784,17/221 - KARTHAUS
38912,42/209 - KEATING
38920,52/212 - KEATING
39136,59/205 - KELLY
39256,06/409 - KENHORST
39312,02/126 - KENNEDY
39344,15/220 - KENNETT
39352,15/406 - KENNETT SQUARE
39608,13/204 - KIDDER
39624,02/211 - KILBUCK
39672,05/211 - KIMMEL
39720,05/212 - KING
39760,27/207 - KINGSLEY
39784,40/414 - KINGSTON
39792,40/220 - KINGSTON
39968,03/210 - KISKIMINETAS
40016,44/402 - KISTLER
40040,03/409 - KITTANNING
40056,03/211 - KITTANNING
40096,53/215 - KLINE
40272,16/406 - KNOX
40288,16/208 - KNOX
40296,17/222 - KNOX
40304,33/209 - KNOX
40360,58/403 - KNOXVILLE
40400,04/420 - KOPPEL
40584,49/402 - KULPMONT
40656,06/410 - KUTZTOWN
40744,65/402 - LACEYVILLE
40752,34/206 - LACK
40760,43/212 - LACKAWANNOCK
40776,51/205 - LACKAWAXEN
40808,42/210 - LAFAYETTE
40848,40/415 - LAFLIN
40920,40/221 - LAKE
40928,43/213 - LAKE
40936,63/209 - LAKE
40960,25/408 - LAKE CITY
41112,18/213 - LAMAR
41208,10/219 - LANCASTER
41216,36/301 - LANCASTER
41224,36/220 - LANCASTER
41264,53/410 - LANDINGVILLE
41272,50/404 - LANDISBURG
41336,57/406 - LANESBORO
41392,09/407 - LANGHORNE
41416,09/408 - LANGHORNE MANOR
41432,46/411 - LANSDALE
41440,23/412 - LANSDOWNE
41464,13/405 - LANSFORD
41504,35/211 - LA PLUME
41512,56/404 - LAPORTE
41520,56/208 - LAPORTE
41568,55/211 - LARIMER
41608,40/416 - LARKSVILLE
41656,57/218 - LATHROP
41672,01/212 - LATIMORE
41680,64/412 - LATROBE
41768,06/411 - LAURELDALE
41836,64/438 - LAUREL MOUNTAIN
41848,40/417 - LAUREL RUN
41888,13/205 - LAUSANNE
41952,17/223 - LAWRENCE
41960,58/216 - LAWRENCE
41984,25/101 - LAWRENCE PARK
42016,58/404 - LAWRENCEVILLE
42080,36/221 - LEACOCK
42168,38/301 - LEBANON
42176,63/210 - LEBANON
42208,25/211 - LE BOEUF
42280,03/410 - LEECHBURG
42352,06/426 - LEESPORT
42368,02/107 - LEET
42392,02/441 - LEETSDALE
42400,13/206 - LEHIGH
42416,35/212 - THORNHURST
42424,48/207 - LEHIGH
42432,63/211 - LEHIGH
42472,13/406 - LEHIGHTON
42504,40/222 - LEHMAN
42512,51/206 - LEHMAN
42544,18/214 - LEIDY
42616,65/207 - LEMON
42648,21/403 - LEMOYNE
42688,06/412 - LENHARTSVILLE
42760,57/219 - LENOX
42824,08/405 - LERAYSVILLE
42856,08/212 - LEROY
42888,28/206 - LETTERKENNY
42944,41/217 - LEWIS
42952,49/206 - LEWIS
42960,59/206 - LEWIS
42968,66/416 - LEWISBERRY
42976,59/402 - LEWISBURG
42984,42/403 - LEWIS RUN
43000,44/403 - LEWISTOWN
43056,01/213 - LIBERTY
43064,02/442 - LIBERTY
43072,05/213 - LIBERTY
43080,14/213 - LIBERTY
43096,42/211 - LIBERTY
43104,43/214 - LIBERTY
43112,47/204 - LIBERTY
43120,57/220 - LIBERTY
43128,58/405 - LIBERTY
43136,58/217 - LIBERTY
43192,16/209 - LICKING
43200,29/206 - LICKING CREEK
43232,64/413 - LIGONIER
43240,64/210 - LIGONIER
43248,11/418 - LILLY
43312,46/205 - LIMERICK
43344,16/210 - LIMESTONE
43352,41/218 - LIMESTONE
43360,47/205 - LIMESTONE
43368,59/207 - LIMESTONE
43384,61/213 - LIMESTONE
43408,02/443 - LINCOLN
43416,05/214 - LINCOLN
43424,31/213 - LINCOLN
43440,55/212 - LINCOLN
43656,20/408 - LINESVILLE
43792,08/213 - LITCHFIELD
43816,36/409 - LITITZ
43824,37/203 - LITTLE BEAVER
43832,36/222 - LITTLE BRITAIN
43912,49/207 - LITTLE MAHANOY
43928,57/407 - LITTLE MEADOWS
43944,01/408 - LITTLESTOWN
43968,50/405 - LIVERPOOL
43976,50/208 - LIVERPOOL
44128,18/301 - LOCK HAVEN
44208,19/212 - LOCUST
44328,07/210 - LOGAN
44336,18/215 - LOGAN
44344,31/214 - LOGAN
44400,18/404 - LOGANTON
44416,66/417 - LOGANVILLE
44440,15/221 - LONDON BRITAIN
44448,05/215 - LONDONDERRY
44456,15/223 - LONDONDERRY
44464,22/207 - LONDONDERRY
44480,15/222 - LONDON GROVE
44512,62/420 - LONG BRANCH
44584,06/219 - LONGSWAMP
44664,11/419 - LORAIN
44704,11/420 - LORETTO
44832,21/102 - LOWER ALLEN
44840,06/220 - LOWER ALSACE
44856,49/208 - LOWER AUGUSTA
44864,64/306 - LOWER BURRELL
44872,66/215 - LOWER CHANCEFOR
44888,23/104 - LOWER CHICHESTE
44904,21/204 - LOWER FRANKFORD
44912,46/206 - LOWER FREDERICK
44920,46/207 - LOWER GWYNEDD
44928,06/221 - LOWER HEIDELBER
44952,39/203 - LOWER MACUNGIE
44960,49/209 - LOWER MAHANOY
44968,09/211 - LOWER MAKEFIELD
44976,46/104 - LOWER MERION
44984,21/205 - LOWER MIFFLIN
44992,39/204 - LOWER MILFORD
45008,46/105 - LOWER MORELAND
45016,48/208 - LOWER MT BETHEL
45024,48/209 - LOWER NAZARETH
45040,15/224 - LOWER OXFORD
45056,22/208 - LOWER PAXTON
45072,46/106 - LOWER POTTSGROV
45080,46/208 - LOWER PROVIDENC
45096,46/209 - LOWER SALFORD
45104,48/210 - LOWER SAUCON
45112,09/212 - LOWER SOUTHAMPT
45120,22/103 - LOWER SWATARA
45128,13/207 - LOWER TOWAMENSI
45136,55/213 - LOWER TURKEYFOO
45144,26/210 - LOWER TYRONE
45152,66/216 - LOWER WINDSOR
45160,11/217 - LOWER YODER
45168,39/205 - LOWHILL
45200,64/211 - LOYALHANNA
45224,41/219 - LOYALSOCK
45432,12/203 - LUMBER
45448,17/411 - LUMBER CITY
45496,28/207 - LURGAN
45560,26/211 - LUZERNE
45568,40/418 - LUZERNE
45584,41/220 - LYCOMING
45592,22/408 - LYKENS
45600,22/210 - LYKENS
45656,39/206 - LYNN
45752,06/413 - LYONS
45824,53/412 - MCADOO
45888,33/210 - MCCALMONT
45912,02/108 - MCCANDLESS
45992,54/406 - MCCLURE
46000,29/401 - MCCONNELLSBURG
46072,62/422 - MCDONALD
46120,49/404 - MCEWENSVILLE
46184,41/221 - MCHENRY
46208,41/222 - MCINTYRE
46216,25/409 - MCKEAN
46224,25/212 - MCKEAN
46256,02/304 - MCKEESPORT
46264,02/444 - MCKEES ROCKS
46352,41/223 - MCNETT
46376,01/409 - MCSHERRYSTOWN
46392,39/407 - MACUNGIE
46400,44/404 - MCVEYTOWN
46456,03/212 - MADISON
46464,16/211 - MADISON
46472,19/213 - MADISON
46480,35/213 - MADISON
46488,64/414 - MADISON
46568,17/412 - MAHAFFEY
46584,53/216 - MAHANOY
46592,53/411 - MAHANOY CITY
46632,03/213 - MAHONING
46640,13/208 - MAHONING
46648,37/204 - MAHONING
46656,47/206 - MAHONING
46680,06/222 - MAIDEN CREEK
46688,19/214 - MAIN
46792,15/407 - MALVERN
46856,63/212 - MANCHESTER
46864,66/418 - MANCHESTER
46872,66/217 - MANCHESTER
46888,36/410 - MANHEIM
46896,36/101 - MANHEIM
46904,66/218 - MANHEIM
46928,05/216 - MANN
46944,05/406 - MANNS CHOICE
46976,03/214 - MANOR
46992,36/223 - MANOR
47000,64/415 - MANOR
47064,03/411 - MANORVILLE
47080,58/406 - MANSFIELD
47248,31/408 - MAPLETON
47344,23/413 - MARCUS HOOK
47400,62/421 - MARIANNA
47424,36/411 - MARIETTA
47432,04/210 - MARION
47440,06/223 - MARION
47448,10/220 - MARION
47456,14/214 - MARION
47472,32/410 - MARION CENTER
47480,49/403 - MARION HEIGHTS
47544,31/409 - MARKLESBURG
47560,26/408 - MARKLEYSBURG
47592,46/210 - MARLBOROUGH
47616,23/112 - MARPLE
47672,10/412 - MARS
47696,02/212 - MARSHALL
47824,36/224 - MARTIC
47872,07/404 - MARTINSBURG
47968,50/406 - MARYSVILLE
48000,26/409 - MASONTOWN
48048,51/401 - MATAMORAS
48128,06/224 - MAXATAWNY
48152,47/207 - MAYBERRY
48176,35/409 - MAYFIELD
48272,61/214 - MEAD
48360,20/301 - MEADVILLE
48376,21/404 - MECHANICSBURG
48448,53/413 - MECHANICSVILLE
48480,23/414 - MEDIA
48528,65/208 - MEHOOPANY
48608,01/214 - MENALLEN
48616,26/212 - MENALLEN
48664,44/207 - MENNO
48688,10/221 - MERCER
48696,43/407 - MERCER
48704,28/403 - MERCERSBURG
48856,65/403 - MESHOPPEN
48864,65/209 - MESHOPPEN
48888,28/208 - METAL
48912,55/411 - MEYERSDALE
48960,54/403 - MIDDLEBURG
48968,58/218 - MIDDLEBURY
49016,54/207 - MIDDLE CREEK
49024,55/214 - MIDDLECREEK
49040,22/211 - MIDDLE PAXTON
49048,53/414 - MIDDLEPORT
49056,10/222 - MIDDLESEX
49072,21/206 - MIDDLESEX
49080,45/207 - MIDDLE SMITHFIE
49104,11/218 - MIDDLE TAYLOR
49120,09/213 - MIDDLETOWN
49128,22/409 - MIDDLETOWN
49136,23/207 - MIDDLETOWN
49152,57/221 - MIDDLETOWN
49184,04/421 - MIDLAND
49240,62/423 - MIDWAY
49256,19/215 - MIFFLIN
49264,22/212 - MIFFLIN
49272,34/401 - MIFFLIN
49280,41/224 - MIFFLIN
49288,59/403 - MIFFLINBURG
49304,34/402 - MIFFLINTOWN
49360,14/215 - MILES
49368,14/404 - MILESBURG
49384,09/214 - MILFORD
49392,34/207 - MILFORD
49400,51/402 - MILFORD
49408,51/207 - MILFORD
49416,55/215 - MILFORD
49504,23/415 - MILLBOURNE
49536,16/212 - MILLCREEK
49552,31/410 - MILL CREEK
49560,38/206 - MILLCREEK
49568,41/225 - MILL CREEK
49576,43/215 - MILL CREEK
49600,25/213 - MILLCREEK
49624,31/215 - MILLER
49632,50/209 - MILLER
49680,22/410 - MILLERSBURG
49720,50/407 - MILLERSTOWN
49728,36/412 - MILLERSVILLE
49760,18/405 - MILL HALL
49768,14/405 - MILLHEIM
49888,24/208 - MILLSTONE
49920,02/445 - MILLVALE
49936,25/410 - MILL VILLAGE
49944,19/407 - MILLVILLE
50016,49/405 - MILTON
50048,60/210 - MINERAL
50088,53/415 - MINERSVILLE
50232,15/408 - MODENA
50272,06/414 - MOHNTON
50320,04/422 - MONACA
50328,66/219 - MONAGHAN
50344,64/304 - MONESSEN
50400,30/212 - MONONGAHELA
50408,62/301 - MONONGAHELA
50424,05/217 - MONROE
50432,08/214 - MONROE
50440,08/406 - MONROE
50464,16/213 - MONROE
50472,21/207 - MONROE
50480,34/208 - MONROE
50488,54/208 - MONROE
50496,65/210 - MONROE
50528,02/446 - MONROEVILLE
50544,28/404 - MONT ALTO
50616,28/209 - MONTGOMERY
50624,32/215 - MONTGOMERY
50632,41/404 - MONTGOMERY
50640,46/211 - MONTGOMERY
50704,19/216 - MONTOUR
50720,41/405 - MONTOURSVILLE
50736,57/408 - MONTROSE
50784,02/213 - MOON
50824,48/211 - MOORE
50880,35/410 - MOOSIC
50936,41/226 - MORELAND
50992,30/213 - MORGAN
51056,17/224 - MORRIS
51064,30/214 - MORRIS
51080,31/216 - MORRIS
51096,58/219 - MORRIS
51104,62/216 - MORRIS
51144,09/409 - MORRISVILLE
51176,23/416 - MORTON
51208,35/411 - MOSCOW
51488,53/416 - MOUNT CARBON
51496,49/406 - MOUNT CARMEL
51504,49/210 - MOUNT CARMEL
51568,38/404 - MOUNT GRETNA
51592,21/405 - MOUNT HOLLY SPR
51632,42/404 - MOUNT JEWETT
51640,01/215 - MOUNT JOY
51656,36/413 - MT JOY
51664,36/225 - MOUNT JOY
51696,02/109 - MT LEBANON
51744,02/447 - MT OLIVER
51760,06/415 - MT PENN
51776,01/216 - MOUNT PLEASANT
51792,19/217 - MT PLEASANT
51864,62/217 - MOUNT PLEASANT
51872,63/213 - MOUNT PLEASANT
51880,64/416 - MOUNT PLEASANT
51888,64/212 - MOUNT PLEASANT
51912,45/403 - MOUNT POCONO
51984,31/411 - MOUNT UNION
52016,36/414 - MOUNTVILLE
52056,66/419 - MOUNT WOLF
52176,10/223 - MUDDY CREEK
52200,06/102 - MUHLENBERG
52264,41/406 - MUNCY
52280,41/227 - MUNCY
52288,41/228 - MUNCY CREEK
52320,02/448 - MUNHALL
52360,11/219 - MUNSTER
52432,64/437 - MURRYSVILLE
52488,38/405 - MYERSTOWN
52584,40/302 - NANTICOKE
52600,11/421 - NANTY GLO
52648,05/218 - NAPIER
52664,46/412 - NARBERTH
52808,48/408 - NAZARETH
52960,58/220 - NELSON
52984,40/419 - NESCOPECK
52992,40/223 - NESCOPECK
53064,37/205 - NESHANNOCK
53088,13/412 - NESQUEHONING
53104,23/105 - NETHER PROVIDEN
53136,02/110 - NEVILLE
53152,08/407 - NEW ALBANY
53160,64/417 - NEW ALEXANDRIA
53168,55/412 - NEW BALTIMORE
53184,37/405 - NEW WILMINGTON
53200,59/404 - NEW BERLIN
53224,66/220 - NEWBERRY
53248,16/407 - NEW BETHLEHEM
53288,04/423 - NEW BRIGHTON
53296,09/410 - NEW BRITAIN
53304,09/215 - NEW BRITAIN
53320,50/408 - NEW BUFFALO
53336,17/413 - NEWBURG
53344,21/406 - NEWBURG
53368,37/301 - NEW CASTLE
53376,53/217 - NEW CASTLE
53416,55/413 - NEW CENTERVILLE
53448,40/420 - NEW COLUMBUS
53464,21/407 - NEW CUMBERLAND
53496,62/424 - NEW EAGLE
53504,26/410 - NEWELL
53544,64/418 - NEW FLORENCE
53568,66/420 - NEW FREEDOM
53592,04/424 - NEW GALILEE
53608,15/225 - NEW GARDEN
53664,46/212 - NEW HANOVER
53696,36/415 - NEW HOLLAND
53712,09/411 - NEW HOPE
53736,64/305 - NEW KENSINGTON
53768,43/408 - NEW LEBANON
53784,15/227 - NEWLIN
53816,15/226 - NEW LONDON
53880,57/409 - NEW MILFORD
53888,57/222 - NEW MILFORD
53916,06/431 - NEW MORGAN
53920,01/410 - NEW OXFORD
53928,05/407 - NEW PARIS
53944,53/417 - NEW PHILADELPHI
53960,40/102 - NEWPORT
53968,50/409 - NEWPORT
54016,53/418 - NEW RINGGOLD
54024,07/405 - NEWRY
54056,66/421 - NEW SALEM
54072,04/211 - NEW SEWICKLEY
54104,64/436 - NEW STANTON
54136,35/214 - NEWTON
54160,44/405 - NEWTON HAMILTON
54184,09/412 - NEWTOWN
54192,09/216 - NEWTOWN
54224,23/208 - NEWTOWN
54304,43/216 - NEW VERNON
54320,21/408 - NEWVILLE
54344,17/414 - NEW WASHINGTON
54392,26/213 - NICHOLSON
54400,65/404 - NICHOLSON
54408,65/211 - NICHOLSON
54504,41/229 - NIPPENOSE
54576,09/217 - NOCKAMIXON
54656,46/413 - NORRISTOWN
54680,35/215 - NORTH ABINGTON
54688,09/218 - NORTHAMPTON
54696,48/409 - NORTHAMPTON
54704,55/216 - NORTHAMPTON
54720,38/207 - NORTH ANNVILLE
54728,03/412 - NORTH APOLLO
54768,37/206 - NORTH BEAVER
54776,64/420 - NORTH BELLE VER
54800,62/218 - NORTH BETHLEHEM
54816,02/449 - NORTH BRADDOCK
54824,65/212 - NORTH BRANCH
54856,03/215 - NORTH BUFFALO
54872,48/410 - NORTH CATASAUQU
54880,19/218 - NORTH CENTRE
54888,62/425 - NORTH CHARLEROI
54904,66/221 - NORTH CODORUS
54928,38/208 - NORTH CORNWALL
54936,15/228 - NORTH COVENTRY
54952,25/411 - NORTH EAST
54960,25/214 - NORTH EAST
54968,50/210 - NORTHEAST MADIS
55000,11/434 - NORTHERN CAMBRI
55016,02/214 - NORTH FAYETTE
55040,62/219 - NORTH FRANKLIN
55088,06/226 - NORTH HEIDELBER
55112,66/222 - NORTH HOPEWELL
55128,64/101 - NORTH HUNTINGDO
55136,64/421 - NORTH IRWIN
55160,38/209 - NORTH LEBANON
55176,38/210 - NORTH LONDONDER
55184,32/216 - NORTH MAHONING
55192,53/218 - NORTH MANHEIM
55216,21/208 - NORTH MIDDLETON
55232,65/213 - NORTHMORELAND
55248,21/209 - NORTH NEWTON
55400,04/212 - NORTH SEWICKLEY
55408,20/213 - NORTH SHENANGO
55432,62/220 - NORTH STRABANE
55448,08/215 - NORTH TOWANDA
55456,49/407 - NORTHUMBERLAND
55464,26/214 - NORTH UNION
55472,53/219 - NORTH UNION
55488,02/111 - NORTH VERSAILLE
55512,46/414 - NORTH WALES
55576,39/207 - NORTH WHITEHALL
55592,07/211 - NORTH WOODBURY
55608,66/422 - NORTH YORK
55624,53/220 - NORWEGIAN
55632,42/212 - NORWICH
55664,23/417 - NORWOOD
55712,62/221 - NOTTINGHAM
55736,65/214 - NOXEN
55744,18/216 - NOYES
55752,40/421 - NUANGOLA
55840,02/450 - OAKDALE
55992,10/224 - OAKLAND
56008,57/410 - OAKLAND
56016,57/223 - OAKLAND
56024,60/211 - OAKLAND
56088,02/451 - OAKMONT
56352,55/217 - OGLE
56384,02/112 - OHARA
56392,02/215 - OHIO
56408,26/411 - OHIOPYLE
56432,04/430 - OHIOVILLE
56456,60/302 - OIL CITY
56464,20/214 - OIL CREEK
56480,60/212 - OIL CREEK
56496,64/422 - OKLAHOMA
56576,35/412 - OLD FORGE
56608,41/230 - OLD LYCOMING
56672,06/227 - OLEY
56712,33/211 - OLIVER
56720,44/208 - OLIVER
56728,50/211 - OLIVER
56792,35/413 - OLYPHANT
56808,31/217 - ONEIDA
56856,06/228 - ONTELAUNEE
56896,19/219 - ORANGE
56912,19/408 - ORANGEVILLE
56928,31/412 - ORBISONIA
57000,63/214 - OREGON
57112,28/405 - ORRSTOWN
57176,08/216 - ORWELL
57184,53/419 - ORWIGSBURG
57200,02/452 - OSBORNE
57224,58/221 - OSCEOLA
57232,17/415 - OSCEOLA MILLS
57280,52/405 - OSWAYO
57288,52/213 - OSWAYO
57304,43/217 - OTTER CREEK
57312,42/213 - OTTO
57408,65/215 - OVERFIELD
57448,08/217 - OVERTON
57472,01/217 - OXFORD
57480,15/409 - OXFORD
57504,13/210 - PACKER
57536,16/214 - PAINT
57544,55/414 - PAINT
57552,55/218 - PAINT
57672,48/212 - PALMER
57696,13/407 - PALMERTON
57720,38/406 - PALMYRA
57728,51/208 - PALMYRA
57736,63/215 - PALMYRA
57752,53/420 - PALO ALTO
57848,36/226 - PARADISE
57856,45/208 - PARADISE
57872,66/223 - PARADISE
57984,10/225 - PARKER
57992,03/301 - PARKER CITY
58032,15/410 - PARKESBURG
58160,03/216 - PARKS
58176,23/418 - PARKSIDE
58304,13/408 - PARRYVILLE
58384,04/425 - PATTERSON HEIGH
58416,04/104 - PATTERSON
58432,11/422 - PATTON
58440,14/216 - PATTON
58480,63/216 - PAUPACK
58504,22/411 - PAXTANG
58560,66/224 - PEACH BOTTOM
58696,48/411 - PEN ARGYL
58712,22/412 - PENBROOK
58784,06/229 - PENN
58792,10/226 - PENN
58800,14/217 - PENN
58808,15/229 - PENN
58816,17/225 - PENN
58824,21/210 - PENN
58832,31/218 - PENN
58840,36/227 - PENN
58848,41/231 - PENN
58856,50/212 - PENN
58864,54/209 - PENN
58872,64/423 - PENN
58880,64/102 - PENN
58888,66/103 - PENN
58936,09/413 - PENNDEL
58968,13/211 - PENN FOREST
59032,02/113 - PENN HILLS
59054,40/435 - PENN LAKE PARK
59120,46/415 - PENNSBURG
59136,15/230 - PENNSBURY
59152,02/482 - PENNSBURY VILLA
59360,36/228 - PEQUEA
59384,09/414 - PERKASIE
59392,46/213 - PERKIOMEN
59440,03/217 - PERRY
59448,06/230 - PERRY
59456,16/215 - PERRY
59464,26/215 - PERRY
59472,30/215 - PERRY
59480,33/212 - PERRY
59488,37/207 - PERRY
59496,43/218 - PERRY
59504,54/210 - PERRY
59520,26/412 - PERRYOPOLIS
59600,28/210 - PETERS
59608,62/222 - PETERS
59616,31/413 - PETERSBURG
59672,10/414 - PETROLIA
60000,67/301 - PHILADELPHIA
60008,14/406 - PHILIPSBURG
60120,15/411 - PHOENIXVILLE
60128,41/232 - PIATT
60136,41/407 - PICTURE ROCKS
60176,06/231 - PIKE
60184,08/218 - PIKE
60192,17/226 - PIKE
60200,52/214 - PIKE
60264,22/415 - PILLOW
60272,02/216 - PINE
60280,03/218 - PINE
60288,17/227 - PINE
60304,19/220 - PINE
60312,20/215 - PINE
60320,32/217 - PINE
60328,41/233 - PINE
60336,43/219 - PINE
60360,18/217 - PINE CREEK
60368,33/213 - PINE CREEK
60456,53/421 - PINE GROVE
60464,53/221 - PINE GROVE
60472,60/213 - PINE GROVE
60480,61/215 - PINE GROVE
60648,16/216 - PINEY
60712,02/453 - PITCAIRN
61000,02/301 - PITTSBURGH
61040,61/216 - PITTSFIELD
61048,40/303 - PITTSTON
61056,40/224 - PITTSTON
61088,48/213 - PLAINFIELD
61104,37/208 - PLAIN GROVE
61120,40/103 - PLAINS
61168,25/412 - PLATEA
61208,61/217 - PLEASANT
61328,02/454 - PLEASANT HILLS
61400,52/215 - PLEASANT VALLEY
61496,05/408 - PLEASANTVILLE
61512,60/404 - PLEASANTVILLE
61536,02/466 - PLUM
61552,60/214 - PLUM
61576,03/219 - PLUMCREEK
61616,09/219 - PLUMSTEAD
61632,32/411 - PLUMVILLE
61640,41/234 - PLUNKETTS CREEK
61648,40/422 - PLYMOUTH
61656,40/225 - PLYMOUTH
61664,46/107 - PLYMOUTH
61728,45/209 - POCONO
61800,15/231 - POCOPSON
61832,49/211 - POINT
61864,26/413 - POINT MARION
61920,33/214 - POLK
61928,45/210 - POLK
61936,60/405 - POLK
62048,11/423 - PORTAGE
62056,11/220 - PORTAGE
62064,12/204 - PORTAGE
62072,52/216 - PORTAGE
62088,42/405 - PORT ALLEGANY
62128,53/422 - PORT CARBON
62136,53/423 - PORT CLINTON
62144,16/217 - PORTER
62152,18/218 - PORTER
62160,31/219 - PORTER
62176,33/215 - PORTER
62184,41/235 - PORTER
62192,51/209 - PORTER
62200,53/222 - PORTER
62224,10/415 - PORTERSVILLE
62264,48/412 - PORTLAND
